timestep;x;y;z;w;p;r
7384;116.478188;96.478188;-204;-176;1;84
7388;116.902443;96.902435;-204;-176;1;84
7392;117.326653;97.326668;-204;-176;1;84
7396;117.750961;97.750961;-204;-176;1;84
7400;118.175217;98.175217;-204;-176;1;84
7404;118.599495;98.599495;-204;-176;1;84
7408;119.02375;99.023743;-203.999985;-176;1;84
7412;119.447998;99.448006;-204;-176;1;84
7416;119.872307;99.872307;-204;-176;1;84
7420;120.296532;100.296532;-204;-176;1;84
7424;120.720833;100.720833;-204;-176;1;84
7428;121.145088;101.145088;-204.000015;-176;1;84
7432;121.569313;101.569313;-204;-176;1;84
7436;121.993614;101.993622;-204.000015;-176;1;84
7440;122.417854;102.417862;-204;-176;1;84
7444;122.84214;102.842148;-204.000015;-176;1;84
7448;123.266388;103.266396;-204;-176;1;84
7452;123.690636;103.690636;-204;-176;1;84
7456;124.114937;104.114952;-204;-176;1;84
7460;124.539169;104.539162;-204;-176;1;84
7464;124.963425;104.963432;-204;-176;1;84
7468;125.387711;105.387733;-204;-176;1;84
7472;125.811951;105.811951;-204;-176;1;84
7476;126.236244;106.236259;-204;-176;1;84
7480;126.660507;106.660507;-204;-176;1;84
7484;127.084763;107.084755;-204;-176;1;84
7488;127.509026;107.509033;-204;-176;1;84
7492;127.933281;107.933289;-204;-176;1;84
7496;128.35759;108.35759;-204;-176;1;84
7500;128.781815;108.781815;-203.999985;-176;1;84
7504;129.206055;109.20607;-204;-176;1;84
7508;129.630386;109.630371;-204;-176;1;84
7512;130.054581;110.054588;-204;-176;1;84
7516;130.478882;110.478905;-204;-176;1;84
7520;130.903152;110.903152;-204.000015;-176;1;84
7524;131.327408;111.327408;-204;-176;1;84
7528;131.751678;111.751678;-204.000015;-176;1;84
7532;132.175934;112.175926;-204;-176;1;84
7536;132.600235;112.600235;-203.999985;-176;1;84
7540;133.02446;113.024467;-204;-176;1;84
7544;133.4487;113.448708;-204;-176;1;84
7548;133.873016;113.873009;-204;-176;1;84
7552;134.297256;114.297241;-204;-176;1;84
7556;134.721481;114.721497;-204;-176;1;84
7560;135.145782;115.145798;-204;-176;1;84
7564;135.570053;115.570061;-204.000015;-176;1;84
7568;135.994324;115.994324;-204;-176;1;84
7572;136.418579;116.418587;-204;-176;1;84
7576;136.842819;116.842827;-203.999985;-176;1;84
7580;137.26712;117.26712;-204;-176;1;84
7584;137.691345;117.691345;-203.999985;-176;1;84
7588;138.115646;118.115662;-204;-176;1;84
7592;138.539917;118.539917;-204;-176;1;84
7596;138.964127;118.964127;-204;-176;1;84
7600;139.388443;119.388428;-204;-176;1;84
7604;139.812683;119.812698;-204;-176;1;84
7608;140.236954;120.236969;-204;-176;1;84
7612;140.661209;120.661217;-204.000015;-176;1;84
