timestep;x;y;z;w;p;r
916;-80;-120.000008;-61.338806;-176;1;84
920;-80;-120.000008;-61.498806;-176;1;84
924;-80;-120;-61.658794;-176;1;84
928;-80;-119.999992;-61.818798;-176;1;84
932;-80;-120.000008;-61.978802;-176;1;84
936;-80;-120.000008;-62.138802;-176;1;84
940;-80;-120;-62.298798;-176;1;84
944;-80;-119.999992;-62.458794;-176;1;84
948;-80;-120.000008;-62.618809;-176;1;84
952;-80;-120.000008;-62.778801;-176;1;84
956;-80;-120.000008;-62.938801;-176;1;84
960;-80;-119.999992;-63.098804;-176;1;84
964;-80;-120.000008;-63.258804;-176;1;84
968;-80;-120.000008;-63.418804;-176;1;84
972;-80;-120.000008;-63.5788;-176;1;84
976;-80;-119.999992;-63.7388;-176;1;84
980;-80;-120;-63.898804;-176;1;84
984;-80;-120.000008;-64.0588;-176;1;84
988;-80;-120.000008;-64.218803;-176;1;84
992;-80;-119.999992;-64.378799;-176;1;84
996;-80;-120;-64.538795;-176;1;84
1000;-80;-120.000008;-64.698799;-176;1;84
1004;-80;-120.000008;-64.858803;-176;1;84
1008;-80;-119.999992;-65.018806;-176;1;84
1012;-80;-119.999992;-65.178802;-176;1;84
1016;-80;-120;-65.338799;-176;1;84
1020;-80;-120.000008;-65.498802;-176;1;84
1024;-80;-119.999992;-65.658791;-176;1;84
1028;-80;-119.999992;-65.818794;-176;1;84
1032;-80;-120;-65.978798;-176;1;84
1036;-80;-120.000008;-66.138794;-176;1;84
1040;-80;-120;-66.298805;-176;1;84
1044;-80;-119.999992;-66.458801;-176;1;84
1048;-80;-120;-66.618797;-176;1;84
1052;-80;-119.999992;-66.778793;-176;1;84
1056;-80;-120;-66.938805;-176;1;84
1060;-80;-119.999992;-67.098793;-176;1;84
1064;-80;-120;-67.258797;-176;1;84
1068;-80;-120;-67.418808;-176;1;84
1072;-80;-120;-67.578804;-176;1;84
1076;-80;-119.999992;-67.7388;-176;1;84
1080;-80;-120;-67.898796;-176;1;84
1084;-80;-120;-68.058807;-176;1;84
1088;-80;-120;-68.218803;-176;1;84
1092;-80;-119.999992;-68.378807;-176;1;84
1096;-80;-120;-68.538795;-176;1;84
1100;-80;-120;-68.698799;-176;1;84
1104;-80;-120;-68.858803;-176;1;84
1108;-80;-119.999992;-69.018806;-176;1;84
1112;-80;-120.000008;-69.178802;-176;1;84
1116;-80;-120.000008;-69.338799;-176;1;84
1120;-80;-120;-69.498802;-176;1;84
1124;-80;-120;-69.658798;-176;1;84
1128;-80;-119.999992;-69.818802;-176;1;84
1132;-80;-120.000008;-69.978806;-176;1;84
1136;-80;-120;-70.138802;-176;1;84
1140;-80;-120;-70.298805;-176;1;84
1144;-80;-119.999992;-70.458801;-176;1;84
1148;-80;-120.000008;-70.618797;-176;1;84
1152;-80;-120;-70.778801;-176;1;84
1156;-80;-120;-70.938797;-176;1;84
1160;-80;-119.999992;-71.098801;-176;1;84
1164;-80;-120.000008;-71.258797;-176;1;84
1168;-80;-120;-71.4188;-176;1;84
1172;-80;-120;-71.578804;-176;1;84
1176;-80;-119.999992;-71.738792;-176;1;84
1180;-80;-120.000008;-71.898796;-176;1;84
1184;-80;-120;-72.0588;-176;1;84
1188;-80;-120;-72.218796;-176;1;84
1192;-80;-120;-72.378807;-176;1;84
1196;-80;-120.000008;-72.538795;-176;1;84
1200;-80;-120;-72.698792;-176;1;84
1204;-80;-120;-72.858795;-176;1;84
1208;-80;-120;-73.018806;-176;1;84
1212;-80;-120.000008;-73.178802;-176;1;84
1216;-80;-120;-73.338799;-176;1;84
1220;-80;-120;-73.498795;-176;1;84
1224;-80;-120;-73.658798;-176;1;84
1228;-80;-120;-73.818802;-176;1;84
1232;-80;-120.000008;-73.978798;-176;1;84
1236;-80;-120;-74.138802;-176;1;84
1240;-80;-120.000008;-74.298798;-176;1;84
1244;-80;-120;-74.458801;-176;1;84
1248;-80;-120.000008;-74.618805;-176;1;84
1252;-80;-120;-74.778793;-176;1;84
1256;-80;-120.000008;-74.938805;-176;1;84
1260;-80;-120;-75.098808;-176;1;84
1264;-80;-120.000008;-75.258804;-176;1;84
1268;-80;-120;-75.418793;-176;1;84
1272;-80;-119.999992;-75.578804;-176;1;84
1276;-80;-120;-75.7388;-176;1;84
1280;-80;-120.000008;-75.898804;-176;1;84
1284;-80;-120.000008;-76.058807;-176;1;84
1288;-80;-119.999992;-76.218796;-176;1;84
1292;-80;-120;-76.378799;-176;1;84
1296;-80;-120.000008;-76.538803;-176;1;84
1300;-80;-120.000008;-76.698799;-176;1;84
1304;-80;-119.999992;-76.858803;-176;1;84
1308;-80;-119.999992;-77.018799;-176;1;84
1312;-80;-120.000008;-77.178795;-176;1;84
1316;-80;-119.999992;-77.338799;-176;1;84
1320;-80;-119.999992;-77.498802;-176;1;84
1324;-80;-119.999992;-77.658806;-176;1;84
1328;-80;-120;-77.818802;-176;1;84
1332;-80;-120;-77.978806;-176;1;84
1336;-80;-119.999992;-78.138802;-176;1;84
1340;-80;-119.999992;-78.298798;-176;1;84
1344;-80;-119.999992;-78.458801;-176;1;84
1348;-80;-120.000008;-78.618813;-176;1;84
1352;-80;-119.999992;-78.778801;-176;1;84
1356;-80;-119.999992;-78.938797;-176;1;84
1360;-80;-119.999992;-79.098801;-176;1;84
1364;-80;-120.000008;-79.258797;-176;1;84
1368;-80;-120;-79.4188;-176;1;84
1372;-80;-119.999992;-79.578804;-176;1;84
1376;-80;-119.999992;-79.738792;-176;1;84
1380;-80;-120;-79.898796;-176;1;84
1384;-80;-120;-80.0588;-176;1;84
1388;-80;-120;-80.218796;-176;1;84
1392;-80;-119.999992;-80.378799;-176;1;84
1396;-80;-120.000008;-80.538803;-176;1;84
1400;-80;-120.000008;-80.698807;-176;1;84
1404;-80;-120;-80.858795;-176;1;84
1408;-80;-119.999992;-81.018799;-176;1;84
1412;-80;-120;-81.178802;-176;1;84
1416;-80;-120;-81.338799;-176;1;84
1420;-80;-120;-81.498802;-176;1;84
1424;-80;-119.999992;-81.658798;-176;1;84
1428;-80;-120.000008;-81.818794;-176;1;84
1432;-80;-120.000008;-81.978806;-176;1;84
1436;-80;-120;-82.138802;-176;1;84
1440;-80;-119.999992;-82.298798;-176;1;84
1444;-80;-119.999992;-82.458794;-176;1;84
1448;-80;-120.000008;-82.618797;-176;1;84
1452;-80;-120;-82.778793;-176;1;84
1456;-80;-120;-82.938797;-176;1;84
1460;-80;-119.999992;-83.098801;-176;1;84
1464;-80;-120.000008;-83.258804;-176;1;84
1468;-80;-120;-83.418793;-176;1;84
1472;-80;-120;-83.578796;-176;1;84
1476;-80;-119.999992;-83.7388;-176;1;84
1480;-80;-120.000008;-83.898796;-176;1;84
1484;-80;-120.000008;-84.058807;-176;1;84
1488;-80;-120;-84.218803;-176;1;84
1492;-80;-119.999992;-84.378792;-176;1;84
1496;-80;-120.000008;-84.538803;-176;1;84
1500;-80;-120;-84.698799;-176;1;84
1504;-80;-120.000008;-84.858803;-176;1;84
1508;-80;-119.999992;-85.018799;-176;1;84
1512;-80;-120.000008;-85.178795;-176;1;84
1516;-80;-120.000008;-85.338799;-176;1;84
1520;-80;-120;-85.498795;-176;1;84
1524;-80;-120;-85.658806;-176;1;84
1528;-80;-120;-85.818802;-176;1;84
1532;-80;-120;-85.978798;-176;1;84
1536;-80;-120.000008;-86.138802;-176;1;84
1540;-80;-119.999992;-86.29879;-176;1;84
1544;-80;-119.999992;-86.458794;-176;1;84
1548;-80;-120.000008;-86.618805;-176;1;84
1552;-80;-120;-86.778801;-176;1;84
1556;-80;-120.000008;-86.938805;-176;1;84
1560;-80;-120;-87.098801;-176;1;84
1564;-80;-120.000008;-87.258797;-176;1;84
1568;-80;-120.000008;-87.4188;-176;1;84
1572;-80;-119.999992;-87.578804;-176;1;84
1576;-80;-120;-87.738808;-176;1;84
1580;-80;-120;-87.898796;-176;1;84
1584;-80;-120;-88.058792;-176;1;84
1588;-80;-120.000008;-88.218803;-176;1;84
1592;-80;-119.999992;-88.378799;-176;1;84
1596;-80;-120.000008;-88.538803;-176;1;84
1600;-80;-119.999992;-88.698807;-176;1;84
1604;-80;-120;-88.858803;-176;1;84
1608;-80;-120;-89.018799;-176;1;84
1612;-80;-120;-89.178802;-176;1;84
1616;-80;-120;-89.338791;-176;1;84
1620;-80;-120.000008;-89.498802;-176;1;84
1624;-80;-119.999992;-89.658806;-176;1;84
1628;-80;-120.000008;-89.818794;-176;1;84
1632;-80;-119.999992;-89.978798;-176;1;84
1636;-80;-120;-90.138809;-176;1;84
1640;-80;-120;-90.298805;-176;1;84
1644;-80;-120;-90.458801;-176;1;84
1648;-80;-120.000008;-90.618805;-176;1;84
1652;-80;-119.999992;-90.778801;-176;1;84
1656;-80;-119.999992;-90.938797;-176;1;84
1660;-80;-120;-91.098801;-176;1;84
1664;-80;-120;-91.258804;-176;1;84
1668;-80;-120;-91.4188;-176;1;84
1672;-80;-119.999992;-91.578796;-176;1;84
1676;-80;-119.999992;-91.7388;-176;1;84
1680;-80;-120.000008;-91.898796;-176;1;84
1684;-80;-119.999992;-92.0588;-176;1;84
1688;-80;-120;-92.218803;-176;1;84
1692;-80;-119.999992;-92.378792;-176;1;84
1696;-80;-120.000008;-92.538795;-176;1;84
1700;-80;-120;-92.698799;-176;1;84
1704;-80;-119.999992;-92.858795;-176;1;84
1708;-80;-119.999992;-93.018799;-176;1;84
1712;-80;-120.000008;-93.178802;-176;1;84
1716;-80;-119.999992;-93.338799;-176;1;84
1720;-80;-120;-93.498795;-176;1;84
1724;-80;-119.999992;-93.658798;-176;1;84
1728;-80;-120.000008;-93.818802;-176;1;84
1732;-80;-120;-93.978798;-176;1;84
1736;-80;-119.999992;-94.138802;-176;1;84
1740;-80;-119.999992;-94.298798;-176;1;84
1744;-80;-120.000008;-94.458801;-176;1;84
1748;-80;-120;-94.618797;-176;1;84
1752;-80;-120;-94.778801;-176;1;84
1756;-80;-119.999992;-94.938789;-176;1;84
1760;-80;-120.000008;-95.098793;-176;1;84
1764;-80;-120;-95.258797;-176;1;84
1768;-80;-120;-95.418793;-176;1;84
1772;-80;-120;-95.578796;-176;1;84
1776;-80;-120;-95.738808;-176;1;84
1780;-80;-120.000008;-95.898796;-176;1;84
1784;-80;-120;-96.058792;-176;1;84
1788;-80;-120.000008;-96.218803;-176;1;84
1792;-80;-119.999992;-96.378799;-176;1;84
