timestep;x;y;z;w;p;r
4312;57.714867;-3.046842;-204;-176;1;84
4316;57.90926;-2.787652;-204;-176;1;84
4320;58.103268;-2.528977;-204;-176;1;84
4324;58.296879;-2.270829;-204;-176;1;84
4328;58.490097;-2.013203;-204;-176;1;84
4332;58.682968;-1.756043;-204;-176;1;84
4336;58.875443;-1.499405;-204;-176;1;84
4340;59.067581;-1.243225;-204;-176;1;84
4344;59.259403;-0.987461;-204;-176;1;84
4348;59.450859;-0.732187;-204;-176;1;84
4352;59.642006;-0.477325;-204;-176;1;84
4356;59.832855;-0.222858;-204;-176;1;84
4360;60.023392;0.031195;-204;-176;1;84
4364;60.21365;0.284875;-204;-176;1;84
4368;60.403629;0.538176;-204;-176;1;84
4372;60.59333;0.791104;-204;-176;1;84
4376;60.782803;1.04373;-204;-176;1;84
4380;60.971981;1.295977;-204;-176;1;84
4384;61.160973;1.547966;-204;-176;1;84
4388;61.349701;1.799601;-204;-176;1;84
4392;61.5382;2.050939;-204;-176;1;84
4396;61.726528;2.302045;-204;-176;1;84
4400;61.914635;2.55285;-204;-176;1;84
4404;62.102577;2.803438;-204;-176;1;84
4408;62.290325;3.05377;-204;-176;1;84
4412;62.477894;3.303856;-204;-176;1;84
4416;62.665344;3.553785;-204;-176;1;84
4420;62.852615;3.803479;-204;-176;1;84
4424;63.039742;4.052999;-204;-176;1;84
4428;63.226753;4.30234;-204;-176;1;84
4432;63.41362;4.551498;-204;-176;1;84
4436;63.600422;4.800566;-204;-176;1;84
4440;63.787094;5.049456;-204;-176;1;84
4444;63.973679;5.298249;-204;-176;1;84
4448;64.160187;5.546916;-204;-176;1;84
4452;64.346603;5.795477;-204;-176;1;84
4456;64.533005;6.04401;-204;-176;1;84
4460;64.719322;6.292427;-204;-176;1;84
4464;64.905586;6.54078;-204;-176;1;84
4468;65.091835;6.789118;-204;-176;1;84
4472;65.278053;7.037416;-204;-176;1;84
4476;65.464287;7.285717;-204;-176;1;84
4480;65.65049;7.533988;-204;-176;1;84
4484;65.8367;7.782264;-204;-176;1;84
4488;66.022942;8.030584;-204;-176;1;84
4492;66.209183;8.278914;-204;-176;1;84
4496;66.395508;8.527346;-204;-176;1;84
4500;66.581833;8.775782;-204;-176;1;84
4504;66.768227;9.0243;-204;-176;1;84
4508;66.954704;9.272932;-204;-176;1;84
4512;67.141228;9.521639;-204;-176;1;84
4516;67.32785;9.770477;-204;-176;1;84
4520;67.514572;10.01943;-204;-176;1;84
4524;67.701393;10.268521;-204;-176;1;84
4528;67.888351;10.517798;-204;-176;1;84
4532;68.075401;10.767196;-204;-176;1;84
4536;68.262611;11.016823;-204;-176;1;84
4540;68.449959;11.266614;-204;-176;1;84
4544;68.637459;11.516622;-204;-176;1;84
4548;68.82515;11.766859;-204;-176;1;84
4552;69.012985;12.017314;-204;-176;1;84
4556;69.201035;12.268041;-204;-176;1;84
4560;69.389275;12.519035;-204;-176;1;84
4564;69.577721;12.770298;-204;-176;1;84
4568;69.766411;13.021878;-204;-176;1;84
4572;69.955299;13.273736;-204;-176;1;84
4576;70.144432;13.525902;-204;-176;1;84
4580;70.333832;13.778445;-204;-176;1;84
4584;70.523476;14.03131;-204;-176;1;84
4588;70.713455;14.284599;-204;-176;1;84
4592;70.903648;14.538201;-204;-176;1;84
4596;71.09417;14.792225;-204;-176;1;84
4600;71.285019;15.046685;-204;-176;1;84
4604;71.476158;15.301554;-204;-176;1;84
4608;71.667656;15.556881;-204;-176;1;84
4612;71.859482;15.812647;-204;-176;1;84
4616;72.051674;16.068892;-204;-176;1;84
4620;72.244247;16.325661;-204;-176;1;84
4624;72.437187;16.582916;-204;-176;1;84
4628;72.630524;16.840715;-204;-176;1;84
4632;72.824265;17.099018;-204;-176;1;84
4636;73.018425;17.357899;-204;-176;1;84
4640;73.213028;17.617369;-204;-176;1;84
4644;73.408066;17.87742;-204;-176;1;84
4648;73.603584;18.138107;-204;-176;1;84
4652;73.799545;18.399393;-204;-176;1;84
4656;73.995995;18.661324;-204;-176;1;84
4660;74.192978;18.923965;-204;-176;1;84
4664;74.390427;19.187237;-204;-176;1;84
